"entidad","accidentes"
"Aguascalientes",1880
"Baja California",3839
"Baja California Sur",862
"Campeche",757
"Chiapas",2321
"Chihuahua",8081
"Ciudad de México",7111
"Coahuila de Zaragoza",2146
"Colima",1053
"Durango",2896
"Guanajuato",4420
"Guerrero",1523
"Hidalgo",1565
"Jalisco",10682
"México",10571
"Michoacán de Ocampo",6517
"Morelos",1739
"Nayarit",1523
"Nuevo León",6097
"Oaxaca",2046
"Puebla",4206
"Querétaro",2523
"Quintana Roo",2288
"San Luis Potosí",2959
"Sinaloa",6849
"Sonora",5907
"Tabasco",1686
"Tamaulipas",4228
"Tlaxcala",1566
"Veracruz de Ignacio de la Llave",4813
"Yucatán",1452
"Zacatecas",2220
